2024-04-02 16:59:45,780 WARNING root 0
2024-04-02 16:59:45,780 WARNING root 1
2024-04-02 16:59:45,780 WARNING root 2
2024-04-02 16:59:45,780 WARNING root 3
2024-04-02 16:59:45,780 WARNING root 4
2024-04-02 16:59:45,780 WARNING root 5
2024-04-02 16:59:45,780 WARNING root 6
2024-04-02 16:59:45,780 WARNING root 7
2024-04-02 16:59:45,780 WARNING root 8
2024-04-02 16:59:45,780 WARNING root 9
2024-04-02 16:59:48,050 WARNING root 0
2024-04-02 16:59:48,051 WARNING root 1
2024-04-02 16:59:48,051 WARNING root 2
2024-04-02 16:59:48,051 WARNING root 3
2024-04-02 16:59:48,051 WARNING root 4
2024-04-02 16:59:48,051 WARNING root 5
2024-04-02 16:59:48,051 WARNING root 6
2024-04-02 16:59:48,051 WARNING root 7
2024-04-02 16:59:48,051 WARNING root 8
2024-04-02 16:59:48,051 WARNING root 9
2024-04-02 16:59:50,514 WARNING root 0
2024-04-02 16:59:50,514 WARNING root 1
2024-04-02 16:59:50,514 WARNING root 2
2024-04-02 16:59:50,514 WARNING root 3
2024-04-02 16:59:50,514 WARNING root 4
2024-04-02 16:59:50,514 WARNING root 5
2024-04-02 16:59:50,514 WARNING root 6
2024-04-02 16:59:50,514 WARNING root 7
2024-04-02 16:59:50,514 WARNING root 8
2024-04-02 16:59:50,514 WARNING root 9
